title,release_year,imdb_link,plot_des,runtime,budget,opening_weekend_gross,box_office_gross,studio,mpaa_rating,award,critic_score,audience_score,theater_release_date,dvd_release_date,streaming_release_date,genre,casts,directors,rotten_link,count_award
PIETA,2012,https://www.imdb.com/title/tt2299842/,A loan shark is forced to reconsider his violent lifestyle after the arrival of a mysterious woman claiming to be his long-lost mother.,103,"EUR103,000","$6,222,","$6,616,296",Good Film,Not Rated,0,73,72,"May 17, 2013",,"Feb 15, 2017","['drama', 'mysteryandthriller']","['Woo Gi-hong', 'Lee Myung-ja', 'Jae-rok Kim', 'Park In-young', 'Lee Hyun-joo', 'Kim Ki-duk', 'Jo Yeong-jik', 'Kim Woo-taek', 'Kang Eun-jin', 'Won-jang Lee', 'Jo Jae-ryong', 'Kim Soon-mo', 'Jo Min-soo', 'Lee Jung-jin']",['Kim Ki-duk'],https://www.rottentomatoes.com/m/pieta_2013,0
RIDDICK,2013,https://www.imdb.com/title/tt1411250/,"Left for dead on a sun-scorched planet, Riddick finds himself up against an alien race of predators. Activating an emergency beacon alerts two ships: one carrying a new breed of mercenary, the other captained by a man from Riddick's past.",119,"$38,000,000","$19,030,375,","$98,337,295",Riddick Canada Productions,R,0,57,56,"Sep 6, 2013",,"Dec 9, 2015","['action', 'scifi', 'adventure', 'mysteryandthriller']","['Ted Field', 'Karl Urban', 'Dave Bautista', 'Mike Drake', 'Nolan Gerard Funk', 'Danny Blanco Hall', 'Vin Diesel', 'David Twohy', 'Raoul Trujillo', 'David Eggby', 'George Zakk', 'Katee Sackhoff', 'Samantha Vincent', 'Tracy Adams', 'Joseph Nemec III', 'Conrad Pla', 'Bokeem Woodbine', 'Jordi Mollà']",['David Twohy'],https://www.rottentomatoes.com/m/riddick,0
ROCKSTAR,2011,https://www.imdb.com/title/tt1839596/,"Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.",159,"$10,920,000","$612,235,","$11,219,667",Eros International,Not Rated,0,83,66,,,"Nov 19, 2016","['drama', 'romance']","['Dhilin Mehta', 'A.R. Rahman', 'Piyush Mishra', 'Shammi Kapoor', 'Aditi Rao Hydari', 'Ranbir Kapoor', 'Shikha Jain', 'Nargis Fakhri', 'Jaideep Ahlawat', 'Imtiaz Ali', 'Anil Mehta', 'Rahat Fateh Ali Khan', 'Neeraj Shridhar']",['Imtiaz Ali'],https://www.rottentomatoes.com/m/rockstar_2011,0
SWEET VIRGINIA,2017,https://www.imdb.com/title/tt2582498/,A former rodeo champ befriends a young man with a propensity for violence.,93,,"$5,183,","$14,725",Automatik Entertainment,R,0,79,59,"Nov 17, 2017",,"Nov 17, 2017","['drama', 'mysteryandthriller']","['Brian Kavanaugh-Jones', 'Jonathan Tucker', 'Odessa Young', 'Garry Chalk', 'Rian Cahill', 'Jon Bernthal', 'Jamie M. Dagg', 'Christopher Ferguson', 'Ben China', 'Paul China', 'Darcy Laurie', 'Fernando Loureiro', 'Rosemarie DeWitt', 'Joseph Lyle Taylor', 'Jared Abrahamson', 'Jessica Lee Gagné', 'Duff Smith', 'Imogen Poots', 'Christopher Abbott', 'Nate Bolotin']",['Jamie M. Dagg'],https://www.rottentomatoes.com/m/sweet_virginia_2017,0
TAMMY,2014,https://www.imdb.com/title/tt2103254/,"After getting fired and finding out her husband is cheating, Tammy hits the road with her profane, alcoholic grandmother.",97,"$20,000,000","$21,577,049,","$100,375,432",RatPac-Dune Entertainment,R,0,24,36,"Jul 2, 2014",,"Mar 4, 2016",['comedy'],"['Allison Janney', 'Adam McKay', 'Rob Cowan', 'Will Ferrell', 'Mark Duplass', 'Gary Cole', 'Toni Collette', 'Nat Faxon', 'Melissa McCarthy', 'Susan Sarandon', 'Chris Henchy', 'Ben Falcone', 'Sandra Oh', 'Kevin Messick', 'Dan Aykroyd', 'Kathy Bates']",['Ben Falcone'],https://www.rottentomatoes.com/m/tammy_2014,0
THE GUNMAN,2015,https://www.imdb.com/title/tt2515034/,"A sniper on a mercenary assassination team, kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself.",115,"$40,000,000","$5,028,702,","$24,177,137",Open Road Films (II),R,1,16,31,"Mar 20, 2015",,"Jan 26, 2016","['action', 'mysteryandthriller']","['Mark Rylance', 'Pete Travis', 'Daniel Adegboyega', 'Pierre Morel', 'Idris Elba', 'Javier Bardem', 'Don MacPherson', 'Olivier Courson', 'Ray Winstone', 'Jasmine Trinca', 'Ron Halpern', 'Peter McAleese', 'Steve Richards', 'Peter Franzén', 'Andrew Rona', 'Sean Penn']",['Pierre Morel'],https://www.rottentomatoes.com/m/the_gunman_2015,1
THE NEW ROMANTIC,2018,https://www.imdb.com/title/tt7456534/,"Frustrated with the lack of chivalrous guys her own age, a college senior gives up on dating for love to date an older man in exchange for gifts instead.",82,,,,Drive Films,Not Rated,0,61,40,"Nov 9, 2018",,"Nov 13, 2018",['romance'],"['Carly Stone', 'Vinnie Bennett', 'Timm Sharp', 'Jessica Barden', 'Jason Ross Jallet', 'Camila Mendes', 'Brett Dier', 'Darren Eisnor', ""Matthew O'Halloran"", 'Greg Hovanessian', 'Michael Robert McLaughlin', 'Hayley Law', 'Avan Jogia', 'Annie Clark', 'Kyle Mann', 'Rob Connolly', 'Christine Armstrong', 'Michael Risley', 'Jonathan Bronfman']",['Carly Stone'],https://www.rottentomatoes.com/m/the_new_romantic,0
THE REST OF US,2019,https://www.imdb.com/title/tt8584722/,Two mother-daughter duos must contend with their grief and complicated relationships with one another when the person who connects them dies.,80,"CAD1,600,000",,,Babe Nation Films,,0,91,81,,,"Feb 14, 2020",['drama'],"['Lindsay Tapscott', 'Charles Gillespie', 'Inga Cadranel', 'Katie Nolan', 'Emma Fleury', 'Heather Graham', 'Alanna Francis', 'Abigail Pniowsky', 'Greg Calderone', 'Jodi Balfour', 'Aisling Chin-Yee', 'Tameka Griffiths', 'Sophie Nélisse']",['Aisling Chin-Yee'],https://www.rottentomatoes.com/m/the_rest_of_us,0
WHERED YOU GO BERNADETTE,2019,https://www.imdb.com/title/tt2365580/,A loving mom becomes compelled to reconnect with her creative passions after years of sacrificing herself for her family. Her leap of faith takes her on an epic adventure that jump-starts her life and leads to her triumphant rediscovery.,109,"$20,000,000","$3,462,308,","$11,025,353",Annapurna Pictures,PG-13,0,49,74,"Aug 16, 2019",,"Aug 27, 2019",['comedy'],"['Richard Linklater', 'Troian Bellisario', 'Steve Zahn', 'Ginger Sledge', 'Kristen Wiig', 'Judy Greer', 'Megan Ellison', 'Maria Semple', 'Jillian Longnecker', 'James Urbaniak', 'Holly Gent', 'Vince Palmo', 'Laurence Fishburne', 'Billy Crudup', 'Cate Blanchett', 'Megan Mullally', 'Nina Jacobson', 'Emma Nelson', 'Brad Simpson']",['Richard Linklater'],https://www.rottentomatoes.com/m/whered_you_go_bernadette,0
BENJI,2018,https://www.imdb.com/title/tt1799516/,"Two school kids strike up a friendship with an orphaned puppy named Benji. When danger befalls them and they end up kidnapped by robbers who are in over their heads, Benji and his scruffy sidekick come to the rescue.",87,"$6,000,000",,"$585,333",Blumhouse Productions,TV-PG,0,60,71,,,"Mar 16, 2018",['drama'],"['Gralen Bryant Banks', 'Will Rothhaar', 'Kiele Sanchez', 'John Sanchez', 'Thomas Scott Stanton', 'Jason Blum', 'Gabriel Bateman', 'Kevin C. Lang', 'Brandon Camp', 'Kostas Christides', 'Jerod Haynes', 'Carsten Kurpanek', 'Terri Taylor', 'Darby Camp', 'Angus Sampson']",['Brandon Camp'],https://www.rottentomatoes.com/m/benji_2018,0
BRIGHT,2017,https://www.imdb.com/title/tt5519340/,A detective must work with an Orc to find a powerful wand before evil creatures do.,117,"$90,000,000",,,Clubhouse Pictures (II),TV-MA,0,27,83,"Dec 22, 2017",,"Dec 22, 2017","['action', 'fantasy', 'mysteryandthriller']","['Eric Newman', 'Lucy Fry', 'Bryan Unkeless', 'Will Smith', 'Joel Edgerton', 'Andrea Navedo', 'Max Landis', 'Edgar Ramírez', 'Jay Hernandez', 'Veronica Ngo', 'David Ayer', 'Noomi Rapace', 'Enrique Murciano', 'Ike Barinholtz']",['David Ayer'],https://www.rottentomatoes.com/m/bright,0
BROOKLYN CASTLE,2012,https://www.imdb.com/title/tt1800266/,"Amidst financial crises and unprecedented public school budget cuts, Brooklyn Castle takes an intimate look at the challenges and triumphs facing members of a junior high school's champion chess team.",101,,,,,PG,0,96,81,"Oct 19, 2012",,"Feb 26, 2016",['documentary'],"['Wendy Ettinger', 'Brian Schultz', 'Katie Dellamaggiore', 'Nelson Dellamaggiore', 'Robert Mclellan']",['Katie Dellamaggiore'],https://www.rottentomatoes.com/m/brooklyn_castle_2012,0
DOVLATOV,2018,https://www.imdb.com/title/tt7763020/,"The film actions unfold in 1971, telling about the four days of life of famous writer Sergei Dovlatov. The film raises the eternal issue of the Russian and European culture - the issue of moral choice.",126,,,"$2,187,653",SAGa,PG-13,0,80,55,,,"Oct 26, 2018",['drama'],"['Helena Sujecka', 'Eva Guerr', 'Aleksey German', 'Isabella Wojcik', 'Konstantin Ernst', 'Andrey Savelev', 'Miroslav Mogorovich', 'Anton Shagin', 'Milan Maric', 'Łukasz Żal', 'Danila Kozlovskiy', 'Dariusz Jabłoński', 'Violetta Kaminska', 'Artur Beschastnyy', 'Svetlana Khodchenkova', 'Yuliya Tupikina']",['Aleksey German'],https://www.rottentomatoes.com/m/dovlatov,0
DREAMS OF A LIFE,2011,https://www.imdb.com/title/tt1819513/,"A filmmaker sets out to discover the life of Joyce Vincent, who died in her bedsit in North London in 2003. Her body wasn't discovered for three years, and newspaper reports offered few details of her life - not even a photograph.",95,,"$3,085,","$291,898",Cannon and Morley Productions,Not Rated,0,77,65,,,"Mar 4, 2016",['drama'],"['Barry Adamson', 'Jay Simpson', 'Mary Farbrother', 'Daren Elliott Holmes', 'Lynda Hall', 'Alan Maher', 'Katherine Butler', 'Tabitha Jackson', 'Alix Luka-Cain', 'Carol Morley', ""Ki'juan Whitton"", 'Zawe Ashton', 'André Singer', 'Paul McGowan', 'Jonathan Harden']",['Carol Morley'],https://www.rottentomatoes.com/m/dreams_of_a_life,0
END OF WATCH,2012,https://www.imdb.com/title/tt1855199/,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",109,"$7,000,000","$13,152,683,","$55,078,146",Exclusive Media Group,R,0,85,86,"Sep 21, 2012",,"Dec 10, 2015","['crime', 'drama', 'action']","['Jaime Fitzsimons', 'Frank Grillo', 'America Ferrera', 'Nigel Sinclair', 'Michael Peña', 'Randall Emmett', 'Remington Chase', 'Anna Kendrick', 'Natalie Martinez', 'Cody Horn', 'Matt Jackson', 'Stepan Martirosyan', 'Adam Kassan', 'Jake Gyllenhaal', 'David Harbour', 'Cle Sloan', 'John Lesher', 'David Ayer']",['David Ayer'],https://www.rottentomatoes.com/m/end_of_watch,0
JURASSIC WORLD FALLEN KINGDOM,2018,https://www.imdb.com/title/tt4881806/,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",128,"$170,000,000","$148,024,610,","$1,310,464,680",Universal Pictures,PG-13,0,47,48,"Jun 22, 2018",,"Aug 31, 2018","['scifi', 'action', 'adventure', 'mysteryandthriller']","['Rafe Spall', 'Steven Spielberg', 'Belén Atienza', 'J.A. Bayona', 'Toby Jones', 'Jeff Goldblum', 'James Cromwell', 'Colin Trevorrow', 'Chris Pratt', 'Frank Marshall', 'Oscar Faura', 'Ted Levine', 'Daniella Pineda', 'Thomas Tull', 'Geraldine Chaplin', 'Derek Connolly', 'Bryce Dallas Howard', 'BD Wong', 'Patrick Crowley']",['J.A. Bayona'],https://www.rottentomatoes.com/m/jurassic_world_fallen_kingdom,1
MISSION IMPOSSIBLE  GHOST PROTOCOL,2011,https://www.imdb.com/title/tt1229238/,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",132,,,,,PG-13,0,93,76,"Dec 21, 2011",,"Jun 6, 2014","['action', 'mysteryandthriller', 'adventure']","['Vladimir Mashkov', 'Michael Nyqvist', 'Jeremy Renner', 'Josh Holloway', 'Brad Bird', 'J.J. Abrams', 'Dana Goldberg', 'Josh Appelbaum', 'Tom Cruise', 'Anil Kapoor', 'Jeffrey Chernov', 'Bryan Burk', 'David Ellison', 'Andre Nemec', 'Paul Schwake', 'Léa Seydoux', 'Simon Pegg', 'Paula Patton']",['Brad Bird'],https://www.rottentomatoes.com/m/mission_impossible_ghost_protocol,0
SLEEPWALK WITH ME,2012,https://www.imdb.com/title/tt2077851/,"A burgeoning stand-up comedian struggles with the stress of a stalled career, a stale relationship, and the wild spurts of severe sleepwalking he is desperate to ignore.",81,,,,,PG-13,0,84,71,"Aug 24, 2012",,"Apr 2, 2016","['comedy', 'drama']","['Lucy DeVito', 'Emily Meade', 'Lauren Ambrose', 'Joe Birbiglia', 'Ken Lerer', 'Alex Karpovsky', 'Seth Barrish', 'William C. Dement', 'Sondra James', 'Brian Bedol', 'Mike Birbiglia', 'Carol Kane', 'Ira Glass', 'Alissa Shipp', 'Wyatt Cenac', 'Jacob Jaffke', 'Hannibal Burress']",['Mike Birbiglia'],https://www.rottentomatoes.com/m/sleepwalk_with_me,0
STEP SISTERS,2018,https://www.imdb.com/title/tt5267472/,"To get the college dean's backing for Harvard, Jamilah has to teach girls at a white sorority to step dance.",108,"$10,000,000",,,Los Angeles Media Fund (LAMF),PG-13,0,22,46,,,"Jan 19, 2018",['comedy'],"['Lyndon Smith', 'Josh Reinhold', 'Christopher Baffa', 'Gage Golightly', 'Alessandra Toressani', 'Charles Stone III', 'Chuck Hayward', 'Naturi Naughton', 'Matt Friedman', 'Lena Waithe', 'Eden Sher', 'Nia Jervier', 'Benjamin Cory Jones', 'Matt Alvarez', 'Megalyn Echikunwoke']",['Charles Stone III'],https://www.rottentomatoes.com/m/step_sisters,0
THE BATTLE OF JANGSARI,2019,https://www.imdb.com/title/tt9018916/,A unit of student soldiers on a diversionary mission for the Battle of Incheon during the Korean War in 1950.,104,,"$8,552,","$7,883,200",Taewon Entertainment,Not Rated,0,44,81,"Oct 4, 2019",,"Jan 26, 2020",['war'],"['George Eads', 'Kwak Si-yang', 'Barri Tsavaris', 'Megan Fox', 'Kim Taehun', 'Kim Myung-min', 'Kim Seongcheol', 'Lee Manhui', 'Kim In-kwon', 'Choi Min-ho', 'Kwak Kyung-Taek', 'Daniel Joey Albright']","['Kwak Kyung-Taek', 'Kim Taehun']",https://www.rottentomatoes.com/m/the_battle_of_jangsari,0
THE BLEEDING EDGE,2018,https://www.imdb.com/title/tt8106576/,A look at the unforeseen consequences of advanced technological devices used in the medical field.,99,,,,Chain Camera Pictures,TV-14,0,100,82,"Jul 27, 2018",,"Jul 27, 2018",['documentary'],"['Ben Cotner', 'Kirby Dick', 'Ian Darling', 'Amy Ziering', 'Amy Herdy']",['Kirby Dick'],https://www.rottentomatoes.com/m/the_bleeding_edge,0
THE CORRUPTED,2019,https://www.imdb.com/title/tt5687270/,"Liam is an ex-con trying to win back the love and trust of his family. Liam's drive for redemption will see him caught up in a web of conspiracy, crime, and corruption.",103,,,"$177,100",Motion Picture Capital,R,0,30,30,"Jan 10, 2020",,"Jan 9, 2020","['crime', 'drama', 'mysteryandthriller']","['Brian Berg', 'Nick Moorcroft', 'Patrick Fischer', 'Lorraine Ashbourne', 'Charlie Murphy', 'Timothy Spall', 'Andrew Berg', 'David Hayman', 'Adam Long', 'Ron Scalpello', 'Laure Vaysse', 'Phil Hunt', 'Helena Holmes', 'Nik Bower', 'Hugh Bonneville', 'John Sachs', 'Alan McKenna', 'Naomi Ackie', 'Sam Claflin', 'Shaun Dooley']",['Ron Scalpello'],https://www.rottentomatoes.com/m/the_corrupted_2020,0
THE NUT JOB,2014,https://www.imdb.com/title/tt1821658/,"An incorrigibly self-serving exiled squirrel finds himself helping his former park brethren survive by raiding a nut store, a location that also happens to be a front for a human gang's bank robbery.",85,,,,,PG,0,12,43,"Jan 17, 2014",,"Dec 9, 2015","['animation', 'kidsandfamily', 'adventure', 'comedy']","['Katherine Heigl', 'Hong Kim', 'Peter Lepeniotis', 'Maya Rudolph', 'Gabriel Iglesias', 'Jeff Dunham', 'Stephen Lang', 'Liam Neeson', 'Daniel Woo', 'William Bindley', 'Sarah Gadon', 'Will Arnett', 'Lorne Cameron', 'Brendan Fraser', 'Mike Karz', 'Wookyung Jung', 'Jay Ahn', 'Graham Moloy', 'James Rankin']",['Peter Lepeniotis'],https://www.rottentomatoes.com/m/the_nut_job,0
THE PACT II,2014,https://www.imdb.com/title/tt2924442/,A woman who is plagued by nightmares involving a serial killer learns her dreams have a horrifying connection to the real world.,96,,,"$358,981",Campfire,Not Rated,0,23,13,,,"Dec 5, 2016","['mysteryandthriller', 'horror']","['Scott Michael Foster', 'Dallas Richard Hallam', 'Daniel Sollinger', 'Haley Hudson', 'Patrick Fischler', 'Patrick Horvath', 'Elisha Gruer', 'Amy Pietz', 'Carl Sondrol', 'Mark Steger', 'Jamie Carmichael', 'Carmen Cabana', 'Saul Herckis', 'Camilla Luddington', 'Nicki Micheaux', 'Juliana Cardarelli', 'Suziey Block', 'Ross M. Dinerstein']","['Dallas Richard Hallam', 'Patrick Horvath']",https://www.rottentomatoes.com/m/the_pact_ii,0
TRIGGER,2010,https://www.imdb.com/title/tt1624408/,"Ten years after ending their partnership as rock musicians, two women become re-acquainted in the course of one night.",83,,,,,Not Rated,0,88,64,,,"Nov 23, 2012",['drama'],"['Julian Richings', 'Bruce McDonald', 'Dany Chiasson', 'Molly Parker', 'Don McKellar', 'Hugh Dillon', 'Rob Gray', 'Daniel MacIvor', 'Sarah Polley', 'Adam Barrett', 'Jonathon Cliff', 'Callum Keith Rennie', 'Brendan Canning', 'Bryan Gliserman', 'Tracy Wright', 'Alan Zweig', 'Lenore Zann', 'Matthew Hannam']",['Bruce McDonald'],https://www.rottentomatoes.com/m/trigger_2010,0
WHITE BOY RICK,2018,https://www.imdb.com/title/tt4537896/,"The story of teenager Richard Wershe Jr., who became an undercover informant for the FBI during the 1980s and was ultimately arrested for drug-trafficking and sentenced to life in prison.",111,"$29,000,000","$8,860,431,","$25,957,482",LBI Productions,R,1,57,50,"Sep 14, 2018",,"Dec 12, 2018","['crime', 'drama', 'biography']","['RJ Cyler', 'Taylour Paige', 'Darren Aronofsky', 'Rory Cochrane', 'Noah Miller', 'Georgia Kacandes', 'Matthew Krul', 'Brian Tyree Henry', 'Andy Weiss', 'Jonathan Majors', 'John Lesher', 'Logan Miller', 'Julie Yorn', 'Eddie Marsan', 'Matthew McConaughey', 'Jennifer Jason Leigh', 'Bel Powley', 'Scott Franklin', 'Yann Demange', 'Richie Merritt']",['Yann Demange'],https://www.rottentomatoes.com/m/white_boy_rick,1
ANCHOR AND HOPE,2017,https://www.imdb.com/title/tt5981304/,"Two women, Eva and Kat, and the best friend of one of them, Roger. A boat in the canals of London and a question: Is it possible to live love, family, and life in such different ways and yet remain united?",113,,,"$68,709",La Panda,,0,75,69,"Nov 16, 2018",,"Nov 20, 2018","['comedy', 'gayandlesbian', 'drama']","['Carlos Marques-Marcet', 'Jules Nurrish', 'Charlotte Atkinson', 'David Verdaguer', 'Geraldine Chaplin', 'Lara Rossi', 'Sergi Moreno', 'Pau Brunet', 'Tono Folguera', 'Trevor White', 'Natalia Tena', 'Sophie Venner', 'Dagmar Weaver-Madsen', 'Oona Chaplin', 'Jana Díaz Juhl', 'Philip Arditti']",['Carlos Marques-Marcet'],https://www.rottentomatoes.com/m/anchor_and_hope,0
