title,plot_des,release_year,runtime,budget,box_office_gross,studio,mpaa_rating,theater_release_date,directors,casts,genre,award,is_holiday,success
BRINGING DOWN THE HOUSE,"When a lonely guy meets a woman on the internet who happens to be in prison, she breaks out to get him to prove her innocence, and proceeds to wreak havoc on his middle-class life.",2003,105,46417190,231705722,Touchstone Pictures,PG-13,2003-03-07,['Adam Shankman'],"['Steve Martin', 'Queen Latifah', 'Eugene Levy', 'Joan Plowright']",['Comedy'],0,False,True
EULOGY,"A black comedy that follows three generations of a family, who come together for the funeral of the patriarch - unveiling a litany of family secrets and covert relationships.",2004,91,8905619,123008,Eulogy Productions LLC,R,2004-09-26,['Michael Clancy'],"['Ray Romano', 'Jesse Bradford', 'Hank Azaria', 'Rip Torn']","['Comedy', 'Drama']",0,False,False
OLDBOY,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",2003,120,4219744,21101699,Show East,R,2003-11-21,['Chan-wook Park'],"['Choi Min-sik', 'Yoo Ji-Tae', 'Kang Hye-jeong', 'Kim Byeong-Ok']","['Action', 'Drama', 'Mystery', 'Thriller']",0,False,True
REBOUND,An acclaimed college basketball coach is demoted to a junior varsity team after a public meltdown.,2005,86,43864025,23180366,Twentieth Century Fox,PG,2005-07-01,['Steve Carr'],"['Martin Lawrence', 'Megan Mullally', 'Breckin Meyer', 'Wendy Raquel Robinson']","['Comedy', 'Family', 'Sport']",0,False,False
ZOOM,Former superhero Jack is called back to work to transform an unlikely group of ragtag kids into superheroes at a private academy.,2006,83,44932465,16055476,Revolution Studios,PG,2006-08-11,['Peter Hewitt'],"['Tim Allen', 'Courteney Cox', 'Chevy Chase', 'Spencer Breslin']","['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",0,False,False
CRY WOLF,"Eight unsuspecting high school seniors at a posh boarding school, who delight themselves on playing games of lies, come face-to-face with terror and learn that nobody believes a liar - even when they're telling the truth.",2005,90,1325197,43183414,Rogue Pictures,PG-13,2005-09-16,['Jeff Wadlow'],"['Julian Morris', 'Lindy Booth', 'Jared Padalecki', 'Erica Yates']","['Drama', 'Horror', 'Mystery', 'Thriller']",0,False,True
THE METHOD,7 Spanish top corporate job candidates are left in a room and informed on computer screens about their tasks and that one of them is an observer. Let the psyching begin.,2005,115,3975591,4599296,Tornasol Films,,2005-09-23,['Marcelo Piñeyro'],"['Eduardo Noriega', 'Najwa Nimri', 'Eduard Fernández', 'Pablo Echarri']","['Drama', 'Thriller']",0,False,True
SHUTTER,"A newly married couple discovers disturbing, ghostly images in photographs they develop after a tragic accident. Fearing the manifestations may be connected, they investigate and learn that some mysteries are better left unsolved.",2008,85,9616624,58367265,New Regency Productions,PG-13,2008-03-21,['Masayuki Ochiai'],"['Joshua Jackson', 'Rachael Taylor', 'James Kyson', 'Megumi Okina']","['Horror', 'Mystery', 'Thriller']",0,False,True
THE TEN,"Ten stories, each inspired by one of the ten commandments.",2007,96,6553220,980521,City Lights Pictures,R,2008-04-25,['David Wain'],"['Paul Rudd', 'Jessica Alba', 'Winona Ryder', 'Adam Brody']","['Comedy', 'Romance']",0,False,False
BLINDSIGHT,"Six blind Tibetan teenagers climb the Lhakpa-Ri peak of Mount Everest, led by seven-summit blind mountain-climber Erik Weihenmayer.",2006,104,134797,470182,Robson Entertainment,PG,2008-08-08,['Lucy Walker'],"['Gavin Attwood', 'Sally Berg', 'Sonam Bhumtso', 'Dachung']","['Documentary', 'Adventure']",0,False,True
ALL ABOUT MY BUSH,A sexually frustrated couple moves to a beautiful suburb where they discover that lust sprouts in the local gardens as well as flowers.,2007,97,22468183,339642,Film i Vst,,2007-01-26,['Martina Bigert'],"['Ola Rapace', 'Maria Kulle', 'David Dencik', 'Karin Lithman']",['Comedy'],0,False,False
GHOST TOWN,"Bertram Pincus is a man whose people skills leave much to be desired. When Pincus dies unexpectedly, but is miraculously revived after seven minutes, he wakes up to discover that he now has the annoying ability to see ghosts.",2008,102,24041560,32564484,DreamWorks,PG-13,2008-09-19,['David Koepp'],"['Ricky Gervais', 'Greg Kinnear', 'Téa Leoni', 'Jordan Carlos']","['Comedy', 'Drama', 'Fantasy', 'Romance']",0,False,True
THE GODDESS OF FORTUNE,"When Annamaria, a longtime friend of Alessandro and Arturo, ask the couple to take care of her children, the relationship between the two men reaches a point of no return.",2019,114,4049347,9900875,RC Produzioni,,2019-12-19,['Ferzan Ozpetek'],"['Stefano Accorsi', 'Jasmine Trinca', 'Edoardo Leo', 'Serra Yilmaz']",['Drama'],0,False,True
AGATHE CLRY,The ultimate nightmare for a racist? Becoming as black as the people she abhors. This is exactly what happens to Agathe Cléry: she's struck down with a rare disorder of the adrenal cortex glands that causes the skin to darken inexorably...,2008,113,25243638,12051925,Produire  Paris,Unrated,2008-12-03,['Étienne Chatiliez'],"['Valérie Lemercier', 'Anthony Kavanagh', 'Dominique Lavanant', 'Isabelle Nanty']","['Comedy', 'Musical']",0,False,False
BALLAST,"A drama set in the Mississippi delta, where one man's suicide affects three people's lives.",2008,96,841454,98406,Alluvial Film Company,Unrated,2008-01-19,['Lance Hammer'],"['Micheal J. Smith Sr.', 'JimMyron Ross', 'Tarra Riggs', 'Johnny McPhail']",['Drama'],0,False,False
THE STRANGERS PREY AT NIGHT,A family of four staying at a secluded mobile home park for the night are stalked and then hunted by three masked psychopaths.,2018,85,5153400,31991410,Aviron Pictures,R,2018-03-09,['Johannes Roberts'],"['Christina Hendricks', 'Martin Henderson', 'Bailee Madison', 'Lewis Pullman']",['Horror'],0,False,True
THE TWILIGHT SAGA ECLIPSE,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",2010,124,80709304,829040448,Summit Entertainment,PG-13,2010-06-30,['David Slade'],"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Xavier Samuel']","['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Thriller']",0,False,True
THE DOUBLE,"A retired CIA operative is paired with a young FBI agent to unravel the mystery of a senator's murder, with all signs pointing to a Soviet assassin.",2011,98,15532871,5442090,Hyde Park Entertainment,PG-13,2011-12-08,['Michael Brandt'],"['Richard Gere', 'Topher Grace', 'Martin Sheen', 'Tamer Hassan']","['Action', 'Crime', 'Drama', 'Thriller']",0,False,False
THE FIFTH ESTATE,A dramatic thriller based on real events that reveals the quest to expose the deceptions and corruptions of power that turned an Internet upstart into the 21st century's most fiercely debated organization.,2013,128,31107491,10063900,Dreamworks Pictures,R,2013-10-18,['Bill Condon'],"['Benedict Cumberbatch', 'Daniel Brühl', 'Carice van Houten', 'Alicia Vikander']","['Biography', 'Crime', 'Drama', 'Thriller']",0,False,False
THE DEN,"While studying the habits of web cam chat users from the apparent safety of her own home, a young woman's life begins to spiral out of control after witnessing a grisly murder online.",2013,76,555490,455645,Cliffbrook Films,R,2014-03-14,['Zachary Donohue'],"['Melanie Papalia', 'David Schlachtenhaufen', 'Adam Shapiro', 'Anna Margaret Hollyman']","['Horror', 'Mystery', 'Thriller']",0,False,False
GAME NIGHT,A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.,2018,100,38135165,121289477,Access Entertainment,R,2018-02-23,"['John Francis Daley', 'Jonathan Goldstein']","['Jason Bateman', 'Rachel McAdams', 'Kyle Chandler', 'Sharon Horgan']","['Action', 'Comedy', 'Crime', 'Thriller']",0,False,True
ONLY THE BRAVE,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",2017,134,40122462,27823155,Columbia Pictures,PG-13,2017-10-20,['Joseph Kosinski'],"['Josh Brolin', 'Miles Teller', 'Jeff Bridges', 'Jennifer Connelly']","['Action', 'Biography', 'Drama']",1,False,False
LAND OF MINE,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.",2015,100,38764267,3460997,Nordisk Film,R,2015-12-03,['Martin Zandvliet'],"['Roland Møller', 'Louis Hofmann', 'Joel Basman', 'Mikkel Boe Følsgaard']","['Drama', 'History', 'War']",0,False,False
BIRDBOY THE FORGOTTEN CHILDREN,Three children decide to leave their homes looking for a better life.,2015,76,1091951,57181,Abrakan Estudio,TV-14,2017-05-24,"['Pedro Rivero', 'Alberto Vázquez']","['Andrea Alzuri', 'Eva Ojanguren', 'Josu Cubero', 'Félix Arcarazo']","['Animation', 'Drama', 'Sci-Fi']",0,False,False
THE FALL,The story of Mary Decker and Zola Budd and their lives building up to the infamous 1984 Olympics 3000M race in which both of them collide.,2016,90,1078347,9183,Hillside Productions,,2016-07-28,['Daniel Gordon'],"['Zola Budd', 'Kyle Keiderling', 'Mary Decker Slaney', 'Richard Slaney']","['Documentary', 'Biography', 'History', 'Sport']",0,False,False
EMPOWERED,"After to visit a Hindi guru healer, Paz loses control over what she says and starts speaking out everything that comes to her mind.",2018,87,4019652,5690115,Atresmedia Cine,TV-MA,2018-03-02,['Santiago Segura'],"['Maribel Verdú', 'Diego Martín', 'Toni Acosta', 'Rafael Spregelburd']",['Comedy'],0,False,True
REVOLUTION,A trapper and his young son get pulled into the American revolution early as unwilling participants and remain involved through to the end.,1985,126,67348587,862480,Goldcrest Films International,PG,1985-12-25,['Hugh Hudson'],"['Al Pacino', 'Donald Sutherland', 'Nastassja Kinski', 'Joan Plowright']","['Adventure', 'Drama', 'History', 'War']",0,True,False
PERSONAL SERVICES,"The story of the rise of a madame of a suburban brothel catering to older men, inspired by the real experiences of Cynthia Payne.",1987,105,45332200,3973669,British Screen Productions,R,1987-05-15,['Terry Jones'],"['Julie Walters', 'Alec McCowen', 'Shirley Stelfox', 'Danny Schiller']",['Comedy'],0,False,False
KILL ME AGAIN,A young detective becomes involved with a beautiful woman on the run from the mob and her psychopath boyfriend.,1989,94,8348741,592121,Incorporated Television Company ITC,R,1989-10-27,['John Dahl'],"['Val Kilmer', 'Joanne Whalley', 'Pat Mulligan', 'Nick Dimitri']","['Action', 'Crime', 'Drama', 'Thriller']",0,False,False
DESPERATE HOURS,"An escaped con, on the run from the law, moves into a married couple's house and takes over their lives.",1990,105,35643442,5431490,Dino De Laurentiis Company,R,1990-10-05,['Michael Cimino'],"['Mickey Rourke', 'Anthony Hopkins', 'Mimi Rogers', 'Lindsay Crouse']","['Action', 'Crime', 'Drama', 'Thriller']",1,False,False
102 DALMATIANS,Cruella DeVil gets out of prison and goes after the puppies once more.,2000,100,127752235,275962520,Cruella Productions,G,2000-11-22,['Kevin Lima'],"['Glenn Close', 'Gérard Depardieu', 'Ioan Gruffudd', 'Alice Evans']","['Adventure', 'Comedy', 'Family']",0,False,True
ANGEL OF DEATH,"The most spectacular Easter celebration in the World. Hosts of hooded Penitents parade through the ancient, narrow streets",2002,91,13667062,225310,A Wandering Star,R,2002-04-24,['Pepe Danquart'],"['Mira Sorvino', 'Olivier Martinez', 'Féodor Atkine', 'Alida Valli']","['Thriller', 'Drama']",0,False,False
GODS AND GENERALS,"The rise and fall of confederate general Thomas ""Stonewall"" Jackson, as he meets with military success against the Union from 1861 to 1863, when he is accidentally killed by his own soldiers.",2003,219,78768565,18178569,Turner Pictures I,PG-13,2003-02-21,['Ron Maxwell'],"['Stephen Lang', 'Robert Duvall', 'Jeff Daniels', 'Donzaleigh Abernathy']","['Biography', 'Drama', 'History', 'War']",1,False,False
THE LAST SAMURAI,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,2003,154,196921413,639470307,Warner Bros,R,2003-12-05,['Edward Zwick'],"['Tom Cruise', 'Ken Watanabe', 'Billy Connolly', 'William Atherton']","['Action', 'Drama']",0,False,True
THE BOYS  GIRL FROM COUNTY CLARE,"In 1965, Jimmy McMahon and his group of Liverpudlians plot to win the annual céilí music competition in Ireland.",2003,90,11252652,213616,Isle of Man Film Commission,R,2006-03-24,['John Irvin'],"['Colm Meaney', 'Bernard Hill', 'Shaun Evans', 'Andrea Corr']","['Comedy', 'Music', 'Romance']",0,False,False
JUON THE GRUDGE,A mysterious and vengeful spirit marks and pursues anybody who dares enter the house in which it resides.,2002,92,5035233,5262359,Pioneer LDC,R,2003-01-25,['Takashi Shimizu'],"['Megumi Okina', 'Misaki Itô', 'Misa Uehara', 'Yui Ichikawa']",['Horror'],0,False,True
RACING STRIPES,"An abandoned zebra grows up believing he is a racehorse, and, with the help of his barnyard friends and a teenage girl, sets out to achieve his dream of racing with thoroughbreds.",2005,102,39755913,120267570,Alcon Entertainment,PG,2005-01-14,['Frederik Du Chau'],"['Frankie Muniz', 'David Spade', 'Snoop Dogg', 'Bruce Greenwood']","['Adventure', 'Comedy', 'Drama', 'Family', 'Sport']",0,False,True
THE HELIX LOADED,"When ""The One"" dies, Orpheum must find the ""Other One.""",2005,97,1325197,4903,Stained Iris Productions,R,2005-03-16,['A. Raven Cruz'],"['Scott Levy', 'Vanilla Ice', 'Geremy Dingle', 'Samantha Brooke']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",0,False,False
PUSS IN BOOTS,"An outlaw cat, his childhood egg-friend and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor and regain the trust of his mother and town.",2011,90,149575796,638559182,DreamWorks Animation,PG,2011-10-28,['Chris Miller'],"['Antonio Banderas', 'Salma Hayek', 'Zach Galifianakis', 'Billy Bob Thornton']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0,False,True
INSIDE MAN,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",2006,129,57770312,238788568,Universal Pictures,R,2006-03-24,['Spike Lee'],"['Denzel Washington', 'Clive Owen', 'Jodie Foster', 'Christopher Plummer']","['Crime', 'Drama', 'Mystery', 'Thriller']",1,False,True
NANCY DREW,"Teen detective Nancy Drew accompanies her father on a business trip to Los Angeles, where she happens upon clues to a murder mystery involving a movie star.",2007,99,24964647,38279455,Warner Bros,PG,2007-06-15,['Andrew Fleming'],"['Emma Roberts', 'Tate Donovan', 'Max Thieriot', 'Craig Gellis']","['Comedy', 'Crime', 'Family', 'Mystery', 'Romance', 'Thriller']",0,False,True
DRAINED,"A pawn shop proprietor buys used goods from desperate locals--as much to play perverse power games as for his own livelihood, but when the perfect rump and a backed-up toilet enter his life, he loses all control.",2006,112,385135,1009645,Primo Filmes,Unrated,2007-03-23,['Heitor Dhalia'],"['Selton Mello', 'Paula Braun', 'Paulo Alves', 'Suzana Alves']","['Comedy', 'Drama']",0,False,True
A MIGHTY HEART,"Mariane Pearl embarks on a frantic search to locate her journalist husband, Daniel, when he goes missing in Pakistan.",2007,108,19971718,23727331,Paramount Vantage,R,2007-06-22,['Michael Winterbottom'],"['Angelina Jolie', 'Dan Futterman', 'Irrfan Khan', 'Archie Panjabi']","['Biography', 'Drama', 'History', 'Thriller', 'War']",0,False,True
CITY OF EMBER,"For generations, the people of the City of Ember have flourished in an amazing world of glittering lights. But Ember's once powerful generator is failing and the great lamps that illuminate the city are starting to flicker.",2008,90,66114290,21552878,Playtone,PG,2008-10-10,['Gil Kenan'],"['Saoirse Ronan', 'Toby Jones', 'Bill Murray', 'David Ryall']","['Adventure', 'Family', 'Fantasy', 'Sci-Fi']",0,False,False
1971,"Based on true facts, the film revolves around 6 brave soldiers who escape from the clutches of the Pakistan Army and risk death with honour and courage with sacrifice towards their journey home.",2007,136,37446971,259326,Sagar Art International,PG-13,2007-03-09,['Amrit Sagar'],"['Manoj Bajpayee', 'Ravi Kishan', 'Deepak Dobriyal', 'Sunil Chauhan']","['Action', 'Drama', 'War']",0,False,False
YOUR HIGHNESS,"When Prince Fabious's bride is kidnapped, he goes on a quest to rescue her... accompanied by his lazy useless brother Thadeous.",2011,102,57414094,32232126,Universal Pictures,R,2011-04-08,['David Gordon Green'],"['Danny McBride', 'Natalie Portman', 'James Franco', 'Rasmus Hardiker']","['Adventure', 'Comedy', 'Fantasy', 'Romance']",0,False,False
HIGH SCHOOL,"A high school valedictorian who gets baked with the local stoner finds himself the subject of a drug test. The situation causes him to concoct an ambitious plan to get his entire graduating class to face the same fate, and fail.",2010,99,11869015,263005,Parallel Media,R,2012-11-23,['John Stalberg Jr.'],"['Matt Bush', 'Sean Marquette', 'Adrien Brody', 'Colin Hanks']",['Comedy'],1,False,False
MARMADUKE,"A suburban family moves to a new neighborhood with their large, yet lovable Great Dane, who has a tendency to wreak havoc in his own oblivious way.",2010,87,59345076,99417060,Twentieth Century Fox,PG,2010-06-04,['Tom Dey'],"['Owen Wilson', 'Judy Greer', 'Lee Pace', 'Emma Stone']","['Animation', 'Comedy', 'Family']",0,False,True
FOR COLORED GIRLS,"Each of the women portray one of the characters represented in the collection of twenty poems, revealing different issues that impact women in general and women of color in particular.",2010,133,24924932,45080874,Lionsgate,R,2010-11-05,['Tyler Perry'],"['Janet Jackson', 'Anika Noni Rose', 'Whoopi Goldberg', 'Kimberly Elise']",['Drama'],0,False,True
EMPIRE STATE,"Two childhood friends plan to rob an armored-car depository, but an NYPD officer stands in their way.",2013,94,12220800,1347065,Grindstone Entertainment Group,R,2013-08-30,['Dito Montiel'],"['Liam Hemsworth', 'Michael Angarano', 'Dwayne Johnson', 'Paul Ben-Victor']","['Action', 'Crime', 'Thriller']",0,False,False
ICEMAN,An imperial guard and his three traitorous childhood friends ordered to hunt him down get accidentally buried and kept frozen in time. 400 years later passes and they are defrosted continuing the battle they left behind.,2014,104,218649466,28461510,Beijing ShengShi HuaRei Film Investment  Management Co,R,2014-09-19,['Wing-Cheong Law'],"['Donnie Yen', 'Baoqiang Wang', 'Shengyi Huang', 'Kang Yu']","['Action', 'Comedy', 'History', 'Sci-Fi']",0,False,False
THE TALE OF THE PRINCESS KAGUYA,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",2013,137,783278541,27448102,Studio Ghibli,PG,2013-11-23,['Isao Takahata'],"['Chloë Grace Moretz', 'James Caan', 'Mary Steenburgen', 'James Marsden']","['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy']",0,False,False
MARROWBONE,"A young man and his three younger siblings, who have kept secret the death of their beloved mother in order to remain together, are plagued by a sinister presence in the sprawling manor in which they live.",2017,110,8446834,12981655,Lionsgate,R,2018-04-13,['Sergio G. Sánchez'],"['George MacKay', 'Anya Taylor-Joy', 'Charlie Heaton', 'Mia Goth']","['Drama', 'Horror', 'Mystery', 'Thriller']",0,False,True
A HORRIBLE WOMAN,"When Rasmus meets Marie, he is certain that she is the love of his life. However, it doesn't take long before it turns out she is a possessive and manipulative being, that cunningly dissects Rasmus to pieces.",2017,86,4117831,1064,New Danish Screen,,2017-12-25,['Christian Tafdrup'],"['Anders Juul', 'Amanda Collin', 'Rasmus Hammerich', 'Sidse Mickelborg']",['Drama'],0,True,False
THE BLUES BROTHERS,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.",1980,133,84804575,361926736,Universal Pictures,R,1980-06-20,['John Landis'],"['John Belushi', 'Dan Aykroyd', 'Cab Calloway', 'John Candy']","['Action', 'Adventure', 'Comedy', 'Crime', 'Music', 'Musical']",0,False,True
BEETLEJUICE,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.",1988,92,32816272,162484464,The Geffen Company,PG,1988-03-30,['Tim Burton'],"['Alec Baldwin', 'Geena Davis', 'Michael Keaton', 'Annie McEnroe']","['Comedy', 'Fantasy']",0,False,True
COOL AS ICE,A rapper gets stuck in a small town and falls for a local girl whose family is in witness protection.,1991,91,11401365,2267089,Alive Films,PG,1991-10-18,['David Kellogg'],"['Vanilla Ice', 'Kristin Minter', 'Naomi Campbell', 'Deezer D']","['Comedy', 'Drama', 'Music', 'Romance']",0,False,False
IT RUNS IN THE FAMILY,It is now summer in the Parker family and the usual number of events is happening in their separate lives.,1994,85,26195445,123880,MetroGoldwynMayer MGM,PG,1994-09-23,['Bob Clark'],"['Charles Grodin', 'Kieran Culkin', 'Mary Steenburgen', 'Christian Culkin']","['Comedy', 'Family']",0,False,False
CON AIR,Newly paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner transport plane when the passengers seize control.,1997,115,120939719,361226356,Touchstone Pictures,R,1997-06-06,['Simon West'],"['Nicolas Cage', 'John Cusack', 'John Malkovich', 'Colm Meaney']","['Action', 'Crime', 'Thriller']",1,False,True
FOOLS RUSH IN,"After a one night stand with Alex, Isabel realizes that she is pregnant and they decide to get married. However, along with the marriage comes compromise of one's own cultural traditions.",1997,109,32250591,47539675,Columbia Pictures,PG-13,1997-02-14,['Andy Tennant'],"['Matthew Perry', 'Salma Hayek', 'Jon Tenney', 'Carlos Gómez']","['Comedy', 'Drama', 'Romance']",0,False,True
GATTACA,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,1997,106,58051065,20209473,Columbia Pictures,PG-13,1997-10-24,['Andrew Niccol'],"['Ethan Hawke', 'Uma Thurman', 'Jude Law', 'Gore Vidal']","['Drama', 'Sci-Fi', 'Thriller']",0,False,False
ULEES GOLD,"A reclusive beekeeper slowly pulls his dysfunctional family back together, but not without having to fight his son's previous dastardly cohorts.",1997,113,4353829,14773497,Clinica Estetico,R,1997-07-18,['Victor Nunez'],"['Peter Fonda', 'Patricia Richardson', 'Christine Dunford', 'Tom Wood']",['Drama'],0,False,True
ORGAZMO,Naive young Mormon Joe Young is recruited to act in porn movies.,1997,94,1612529,971229,Kuzui Enterprises,NC-17,1998-10-23,['Trey Parker'],"['Trey Parker', 'Dian Bachar', 'Robyn Lynne Raab', 'Michael Dean Jacobs']",['Comedy'],0,False,False
THE RUNDOWN,A tough aspiring chef is hired to bring home a mobster's son from the Amazon but becomes involved in the fight against an oppressive town operator and the search for a legendary treasure.,2003,104,119559429,113907663,Columbia Pictures,PG-13,2003-09-26,['Peter Berg'],"['Dwayne Johnson', 'Seann William Scott', 'Christopher Walken', 'Rosario Dawson']","['Action', 'Adventure', 'Comedy', 'Thriller']",0,False,False
STUCK ON YOU,Conjoined twins from Martha's Vineyard move to Los Angeles so that one of them can pursue an acting career.,2003,118,77361983,92531266,Twentieth Century Fox,PG-13,2003-12-12,"['Bobby Farrelly', 'Peter Farrelly']","['Matt Damon', 'Greg Kinnear', 'Eva Mendes', 'Cher']",['Comedy'],0,False,True
FRIDAY NIGHT LIGHTS,"Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers.",2004,118,41102858,84878458,Universal Pictures,PG-13,2004-10-08,['Peter Berg'],"['Billy Bob Thornton', 'Jay Hernandez', 'Derek Luke', 'Lucas Black']","['Action', 'Drama', 'Sport']",0,False,True
72 METERS,"Every second is precious for a Russian submarine crew, as they are stranded 72 meters below the ocean's surface.",2004,115,2192152,3278544,Channel One Russia,,2004-02-12,['Vladimir Khotinenko'],"['Sergey Makovetskiy', 'Marat Basharov', 'Andrey Krasko', 'Dmitriy Ulyanov']","['Drama', 'Action', 'Thriller']",0,False,True
THE LIVES OF OTHERS,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",2006,137,2567569,99309660,Wiedemann  Berg Filmproduktion,R,2007-03-30,['Florian Henckel von Donnersmarck'],"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch', 'Ulrich Tukur']","['Drama', 'Mystery', 'Thriller']",0,False,True
DREAMER,"Cale Crane catalyzes the rescue and rehabilitation of Sonador, a race horse with a broken leg.",2005,106,42406308,51340432,Dreamworks Pictures,PG,2005-10-21,['John Gatins'],"['Kurt Russell', 'Dakota Fanning', 'Oded Fehr', 'Kris Kristofferson']","['Drama', 'Family', 'Sport']",0,False,True
THE FEAST OF THE GOAT,"Urania Cabral (Isabella Rossellini) returns to Santo Domingo, after several years, and remembers her and her family's relationship to Rafael Leonidas Trujillo (Tomas Milian), the Dominican dictator, as well as the events surrounding his assassination.",2005,132,10601577,265528,DRAX audio,Unrated,2006-03-03,['Luis Llosa'],"['Tomas Milian', 'Isabella Rossellini', 'Paul Freeman', 'Juan Diego Botto']",['Drama'],0,False,False
